Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Datasheet Link~String~Datasheet Link~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Manufacturer_Part_Number~String~Manufacturer_Part_Number~101|Field=Quantity~Integer~Quantity~101|Field=Value~String~Value~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Bhishma.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=Title~Bill of Materials For Project [Bhishma.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~183|ReportField=ReportTime~6:19:45 AM|ReportField=ReportDate~10/20/2019|ReportField=ReportDateTime~10/20/2019 6:19:45 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Boulder|ReportField=Address2~Bhishma|ReportField=Address3~Low Power Embedded|ReportField=Address4~Design Techniques|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/20/2019|ReportField=CurrentTime~6:03:12 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Bhishma\Block Diagram.SchDoc|ReportField=DocumentName~Block Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/20/2019|ReportField=Organization~University of Colorado|ReportField=ProjectName~Bhishma.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Block Diagram|ReportField=DataSourceFileName~Bhishma.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
54|279-CRGS0603J1R0|http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F9-1773463-8%7FB%7Fpdf%7FEnglish%7FENG_DS_9-1773463-8_B.pdf%7F3-2176243-7|Resistor|R101, R401|CRGS0603J1R0|2|1 Ohm
55|594-MCT06030C1004FP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R201|MCT06030C1004FP500|1|1M
56|594-MCT0603MD1002BP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R203, R204, R205, R206|MCT0603MD1002BP500|4|10K
57|594-MCT0603PD1001DP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R207, R208|MCT0603PD1001DP500|2|1K
58|279-CPF0603B5R9E1|http://www.farnell.com/datasheets/1786775.pdf|Resistor|R209|CPF0603B5R9E1|1|6R
59|594-MCT06030C2703FP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R210, R211, R212|MCT06030C2703FP500|3|270K
60|612-LL3301AF065QJ|https://media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/LL3301AF065QJ.pdf|Switch|S101, S401|LL3301AF065QJ|2|
61|449-LFXTAL061642REEL|https://www.iqdfrequencyproducts.com/products/pn/LFXTAL061642Reel.pdf|Crystal or Oscillator|Y1|LFXTAL061642Reel|1|25MHz
62|732-FA20H38.4F10ZAS3|https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-20H_en.pdf|Crystal or Oscillator|Y101, Y401|FA-20H 38.4000MF10Z-AS3|2|
63|428-201410-MC01|https://www.mouser.co.uk/datasheet/2/530/cm8v-t1a-1085761.pdf|Crystal or Oscillator|Y102, Y402|CM8V-T1A-32.768kHz-9pF-20PPM-TA-QC|2|32.768KHz
64|520-160-8-36B-CKYT|https://ecsxtal.com/store/pdf/ECX-2236B.pdf|Crystal or Oscillator|Y201|ECS-160-8-36B-CKY-TR|1|16MHz
